id,question,level
3666,To study the performance of various optical sources,2
3667,To acquire knowledge about different optical detectors and receivers,3
3668,Understand different digital transmission system in OFC and apply the knowledge in optical fiber link,4
3669,To get a deep knowledge in the field of optical amplifiers,5
3670,Familiarise with WDM techniques/ LiFi and Fault finding in optical link,6
3671,Realise the problems involved in designing and building ecommerce systems,1
3672,Design E-Commerce systems that fully meet the requirements of the intended users,2
3673,"Analyse and evaluate the Internet trading relationships including Business to Consumer, Business-to-Business, Intra-organizational.",3
3674,To develop fundamental  ideas about thermodynamics,1
3675,Work with electronic payment systems,4
3676,"Make ethical decisions related to e-commerce considering laws, privacy, and security",5
3677,"Demonstrate retailing in E-commerce by analyzing branding and pricing strategies, using and determining the effectiveness of market research",6
3678,Ability to formulate a problem statement,1
3679,Identify requirements from problem statement,2
3680,Ability to analyze the requirements,3
3681,Ability to model and design database,4
3682,Ability to design user  interfaces,5
3683,Ability to work in a team,6
3684,Demonstrate the basic concepts of non-conventional IC Engines,1
3685,Evaluate dual fuel and multi fuel engine technology,2
3686,llustrate the lean burn technology developments and advancements in the field of IC engines,3
3687,Discuss mathematical concepts used in cryptographic fundamentals,1
3688,Understand various ways to apply number theory in designing secure systems,2
3689,Demonstrate various security services and encryption techniques used in modern cryptography,3
3690,Compare and Analyse existing cryptographic algorithms in computing systems,4
3691,Illustrate various security protocols and cryptographic techniques used in transport layer security,5
3692,Exposure to different vulnerabilities in existing system and use of firewalls to overcome those issues,6
3693,Develop understanding on the Energy conversion processes,2
3694,Get introduced to regrigeration and Air conditioning processes,3
3695,Outline a broad perspective of power quality issues,1
3696,Infer Power Quality standards and causes of power quality issues,2
3697,Analyse effects of harmonics and its tools and methods,3
3698,Measure different power quality parameters using various equipment,4
3699,Develop different devices for the elimination of harmonics disturbances,5
3700,Outline Power Quality issues of Smart Grid,6
3701,Apply the fundamental concepts of limit state method to solve problems related to structures,1
3702,Practice IS code  provisions for the design of concrete elements,2
3703,"Analyze and design the structural behavior of reinforced concrete elements in bending, shear,      compression and torsion.",3
3704,"Design beams, slabs, stairs, and columns and draw the details of reinforcement.",4
3705,Analyze and design for deflection and crack control of reinforced concrete elements.,5
3706,To get introduced to research philosophy and processes in general.,1
3707,To formulate the research problem and prepare research plan,2
3708,"Got the basic idea of IPR, copyright and patent for the social development",3
3709,To apply various numerical /quantitative techniques for data analysis,4
3710,To prepare and communicate the research findings effectively with modern tool,5
3711,Demonstrate a depth of knowledge in the field of Energy Systems,1
3712,Demonstrate knowledge of contemporary issues in their chosen field of research.,2
3713,Summarize and evaluate methodologies from different sources in the field of research,3
3714,Demonstrate an ability to present and defend their research work to a panel of experts,4
3715,"Prepare technical papers for publication in high impact factor journals, conference proceedings",5
3716,Understand the working of engines and power transmission devices in Automobiles,4
3717,Develop an overview on Materials and manufacturing operations,5
3718,Understand the operations of Machine Tools,6
3719,Optimization of usage of different input output devices and problems associated with usage  of multiple devices,5
3720,Memory Management concepts for space utilization in random access memory,4
3721,Improvement of process Management through different techniques and algorithms,3
3722,Improvement of computer system efficiency by designing different scheduling algorithms,2
3723,Learn basic evolution of modern operating system,1
3724,Design a vehicle body with maximum comfort,1
3725,Define the theory of drag and design vehicles with minimum drag,2
3726,Describe the various manufacturing process of body construction with practical challenges,3
3727,Demonstrate maintenance of vehicle body and fault detection associated with vehicle body,4
3728,Identify advanced technologies involved in the aerodynamic design concepts of vehicle body,5
3729,Illustrate comfort and safety considerations that have to be taken into account while designing a vehicle,6
3730,Usage of efficient way of File system and Directory Implementation. Case Study : Linux System,6
3731,Compare different programming methodologies and define asymptotic notations to analyze performance of algorithms,1
3732,"Use appropriate data structures like arrays, linked list to solve real world problems efficiently.",2
3733,Techniques to handle memory management techniques. Implementation of Linear Data structure like Queue and Stack with different application,3
3734,Represent and manipulate data using nonlinear data structures like trees and graphs to design algorithms for various applications.,4
3735,Illustrate and compare various techniques for  sorting.,5
3736,Illustrate and compare various techniques for searching.,6
3737,"Familiarize and implement various SQL commands like DDL,DML,DCL and TCL etc.",1
3738,"Design and implement advanced database manipulation queries such as nested queries, join queries etc.",2
3739,"Apply PL-SQL concepts such as various control structures, creation of procedures and functions.",3
3740,"Analyze stored programming concepts using cursors, exceptions and triggers.",4
3741,Develop medium sized application using PHP and SQL.,5
3742,Demonstrate the relevance of organic chemistry  for chemical  engineering practice,1
3743,Illustrate role of reactions in chemical engineering,2
3744,Identify and explain advanced synthetic reagents and mechanisms,3
3745,Demonstrate the importance of selected industrially used organic compounds,4
3746,Explain various aspects of chemistry of food and drugs and their composition,5
3747,Review literature to find feasible solutions for a problem,1
3748,Systematically analyse a problem and develop objective statements,2
3749,Develop a scientific method to reach an objective,3
3750,Communicate and convince others on the method of achieving an objective,4
3751,Properly document a work plan/work report,5
3752,Acquire knowledge on latest developments on a specific area of interest,1
3753,Logically connect the works done by different authors in the same area,2
3754,Understand the gaps in literature on a specific topic,3
3755,Identify research works that could be done in the immediate future,4
3756,Write report and make presentations on the area studied,5
3757,"Memorise popular personalities, definitions, formulas in the field of construction management",1
3758,Anlayse an organization/project and suggest improvements,2
3759,Cooperate with an IT team to work towards an efficient MIS,3
3760,Make purchase decisions in an organsiation based on the financial aspect,4
3761,Evaluate or create a project schedule,5
3762,Understand the basic structure of a scientific paper,1
3763,Acquire knowledge on latest developments on a specific area of interest,2
3764,Download required scientific papers and systematically arrange them using a reference manager,3
3765,Understand the gaps in literature on a specific topic,4
3766,Write a report based on the papers read,5
3767,Familiarisation with Primavera P6 software,1
3768,Familiarisation with STAAD software,2
3769,Familiarisation with ETABS software,3
3770,Familiarisation with ANSYS Work bench,4
3771,Ability to select a suitable tool for a problem,5
3772,"Apply concepts such as Mathematical induction,recursion and the division algorithm in computer applications such as analysis of algorithms",1
3773,Solve systems of linear congruences and use simple cryptographic techniques,3
3774,Understand  and evaluate quadratic congruences,5
3775,Understand and evaluate the order and index of a positive inter to a specified modulus,4
3776,Use the Euclidean algorithm to find the gcd and lcm of twi equations and inthe solution of Diophantine equations,2
3777,"Demonstrate various manufacturing processes in a basic mechanical engineering workshop, like smithy, carpentry, foundry and fitting",1
3778,"Identify various hand tools used in basic mechanical engineering workshop sections, like smithy, carpentry, foundry and fitting.",2
3779,Choose different measuring devices necessary to carry out work in a workshop.,3
3780,"Demonstrate the operations of various machine tools like lathe, milling, drilling and shaping machines.",4
3781,Assemble and disassemble machines like IC engines,5
3782,"Construct models using basic mechanical workshop sections involving welding, moulding, smithy, carpentry etc.",6
3783,Evaluate gas turbine plants and its application in automotive industry,4
3784,Evaluate stratified charged engines and other special types of engines,5
3785,Describe the working of HCCI and CAI engines,6
3786,"Analyze the implications of emission, its testing and standards followed in different countries.",1
3787,Identify the sources and causes of the automobile emission,2
3788,Identify the different methods adopted for controlling pollution from automobile,3
3789,Evaluate emission checking methods and inspections for in-use vehicles,4
3790,Demonstrate the involvement of secondary sub-systems in the emission control of an automobile,5
3791,Identify the differences in emission due to different conventional and non-conventional fuels,6
3792,Analyse a current topic of technical interest and present it before an audience,1
3793,"Identify an engineering problem, analyse it and propose a work plan to solve it.",2
3794,"Develop skills in doing literature survey, technical presentation and report preparation",3
3795,Enable project identification and execution of preliminary works for final semester project,4
3796,Build confidence to carry out research and make presentation on a specified topic.,5
3797,Identify properties of fluids  and solve problems related to fluid statics,1
3798,Design and analyze fluid pressure measuring devices.,2
3799,"Analyze the flow of fluids through pipes, loss due to friction and rectify problems faced in practical cases of flow applications.",3
3800,"Analyze the flow of fluids through flat plates, effect of boundary layer, flow measuring devices.",4
3801,"Illustrate the design, construction, selection and application  of hydraulic turbines .",5
3802,"Illustrate the design, construction, selection and application  of different types of  pumps.",6
3803,Identify and analyze different flow measuring devices,1
3804,Identify and evaluate different types of turbines,2
3805,Demonstrate the working of various types of pumps,3
3806,Discuss the physical basis of Bernoulli's equation and apply it to flow measurement and to a variety of problems,4
3807,Select  different types of pumps and turbines for specific applications,5
3808,Identify the importance of conventional and renewable energy sources.,1
3809,Identify different energy sources and analze them for particular application.,2
3810,Analyze various alternative liquid fuels for automobiles.,3
3811,Anlayze importance and performance of alternate gaseous fuels.,4
3812,Analyze indirect alternative power sources like solar for vehicle application.,5
3813,Illustrate the working of hybrid and electic vehicles for mobility solutions.,6
3814,Perform hands-on-experiments in auto electrical systems and fault diagnostics,1
3815,Demonstrate the use of various sensors used in Automobiles.,2
3816,Design electronic circuits for automotive systems.,3
3817,Identify and suggest solutions to possible electrical faults,4
3818,Design an appropriate circuit to perform a function in an automobile.,5
3819,Determine the dynamics and dynamic parameters of liquid level systems,1
3820,Demonstrate the step response of a second order system,3
3821,Demonstrate different types of control mechanisms,4
3822,Determine the characteristics of control valves,5
3823,Determine the dynamics and dynamic parameters of temperature measuring devices like thermometer,2
3824,Demonstrate the application of software tools for process control,6
3825,Demonstrate the concept of the dielectric constant of material,6
3826,Identify and discuss real world issues,1
3827,Get exposure to multidisciplinary courses,2
3828,To develop presentation skills and apply principles of ethics and respect interaction with others,3
3829,Improve ability to utilise technical resources and to write technical documents,4
3830,"1.	Acquire knowledge on latest developments on a specific area of interest",1
3831,"2.	Logically connect the works done by different authors in the same area",2
3832,"3.	Understand the gaps in literature on a specific topic",3
3833,"4.	Identify research works that could be done in the immediate future",4
3834,"5.	Write report and make presentations on the area studied",5
3835,To acquaint with fundamental aspects of advanced vacuum technology and its applications in nano-forming,1
3836,"Explain the concepts of tunneling, inter-molecular forces, various structures and surface phenomenons in nanoscale.",2
3837,Explain Moore's laws and various nano-fabrication techniques,3
3838,Compare various lithographic techniques for manufacturing nanoscale structures,4
3839,Describe  the chemical methods for synthesis of nanomaterials.,5
3840,Describe the physical methods for synthesis of nano materials,6
3841,To compare different options in energy related projects by doing economic analysis,5
3842,Understand the basic laws of thermodynamics,1
3843,"Explain electrical power supplies and their limitations, standard voltages and their tolerances, safety aspects of electrical systems and the importance of protective measures in wiring systems.",1
3844,"Demonstrate different configurations of wires, cables and other accessories used in wiring circuits",2
3845,Demonstrate different  lighting circuits for domestic  and commercial buildings,3
3846,Wire different  lighting circuits for domestic  and commercial buildings,4
3847,"Distinguish between light and power circuits to control and measure circuit parameters such as current, voltage and power",5
3848,The need and requirements for high temperature materials.,1
3849,Demonstrate the problems including creep assosiated with materials used at elevated temperatures.,2
3850,"Select ferrous alloys for high temperature applications, based on their properties.",3
3851,"Evaluate non ferrous materials for use at high temperatures and select the coatings needed, if any.",4
3852,Evaluate and select the melting and processing  practices to be adopted for the selected material.,5
3853,Select the preventive measures for high temperature corrosion,6
3854,differentiate between the different processes in thermodynamics,2
3855,"Obtain the skill to use metallurgical thermodynamic concepts and equations for understanding phase diagrams, phase transformations, theory of solutions",5
3856,"Explain phase equilibria and the Ellingham diagrams for oxides, sulphides, halides  and their applications to metallurgical processes",4
3857,Obtain problem solving skills in order to improve / modify industrial processes,6
3858,"Evaluate concepts such as the theory of solutions, free energy, entropy, criteria for equilibrium and conditions for feasibility",3
3859,Demonstrate an understanding of Visual Inspection and Liquid Penetrant Testing,1
3860,Illustrate an understanding about Magnetic Particle inspection applied to Ferromagnetic materials,2
3861,Understand the principles of Ultrasonic testing and Interpret the results,3
3862,Analyze and Interpret the Radiography testing principles and results,4
3863,Develop an understanding about the application of Eddy Current testing,5
3864,Explain the principle of Thermography and identify the application.,6
3865,"Become familiar with types of cells, their structure and composition.",1
3866,"Understand what enzymes are, how they are classified, what their function is, and the mechanistic models describing their function in enzymatic reactions.",2
3867,"Compare methods for production, purification, characterization and immobilization of enzymes",3
3868,Grasp the mechanisms and energetics of metabolic pathways in the cell,4
3869,Measure and classify stages of microbial growth and understand fermentation schemes,5
3870,Apply the basic concepts of mass and heat transfer in reactor design for biochemical processes,6
3871,To demonstarte the role of vaporization in microminiaturization of silicon circuits,2
3872,To understand the fundamentals of semiconductor functioning in order to further nano-scale transistor integration,3
3873,To evaluate the various nano-lithographic techniques for appropriate nano-fabrication needs,4
3874,"To demonstrate the applications of Nanoelectromechanical systems (NEMS) devices in various fields like molecular electronics, micro-fluidics, etc.",6
3875,"To understand the change in material charatecteristics and behaviour when made into thin films, corresponding evolution of Micro-Electro-Mechanical Systems",5
3876,"Apply the theory of algebraic structures such as groups, rings fields and vector spaces in  applications in Communication  Engineering",1
3877,Utilise linear transformations and matrices in image processing applications,2
3878,Categorize various welding processes with its inherent merits and limitations.,1
3879,Select appropriate welding route and fillers based on the materials for different applications.,2
3880,Inspect the fabrication drawing and analyze the weldments for different welding defects.,3
3881,Solve the welding problems associated joining technology of different materials.,4
3882,Identify various Nondestructive testing for weldaments.,5
3883,Understand safe operation of AC machines and analyse the performance of different types of AC machines,6
3884,To list the various parameters and requirements for welding processes,6
3885,Identify the basic components of a digital computer,1
3886,Construct an algorithm and /or flowchart to solve a  simple mathematical or logical problems,2
3887,Implement the devised algorithm using python  programming language,3
3888,Test and debug the program,4
3889,Develop modular python programs using functions,5
3890,"Develop modular python programs using list,strings and files",6
3891,Able to effectively employ different techniques to analyse different power system network conditions and lead the exploration of new applications and techniques for their use.,1
3892,Will be exposed to various system studies and different techniques used for system planning,2
3893,Able to analyze different types of short-circuit faults which occur in power systems and perform stability analysis using different software platforms,3
3894,Explain basic concepts in modelling and simulation and identify apprropriate models.,1
3895,Derive basic equations in momentum heat and mass transfer.,2
3896,Develop mathematical models for chemical engineering systems.,3
3897,Identify the variations in  process parameters for unit operations like distillation and boiling.,4
3898,Design mathematical models for distributed systems such as jacketed vessels.,5
3899,Apply suitable numerical simulation methods for the solution of models.,6
3900,Solve problem systematically with Tree and Graph data structure,6
3901,Demonstrate their understanding of non-destructive testing principles,1
3902,"Prepare test samples, set-up, and functionally operate testing equipment.",2
3903,"Design and conduct experiments, collect data as well as analyze and interpret data related to flaw in materials",3
3904,Gain the relationships between damage and defects in materials,4
3905,Apply the theory of coordinate transformations and projections in image processing applications,3
3906,Apply special random processes in the study of communication engineering,5
3907,Recognize the relevance of random processes in communication engineering and apply this theory in the effective design of filters,4
3908,Identify different metal forming processes and select necessary techniques used for manufacturing,1
3909,Design forging techniques used for metals and organize stress and strain associated with it,2
3910,"Demonstrate how rolling metals are done, Design the forces and geometrical relationships in rolling",3
3911,"Design the working of Extrusion Technique in Metal forming, Illustrate the production of seamless pipe and Tubing",4
3912,"Design Drawing and Sheet metal forming , Analysis of Wire drawing, Tube drawing techniques and Calculate the residual stress associated with it",5
3913,Analyse a current topic of professional interest and present it before an audience,1
3914,"Compare and contrast super plasticity and super plastic forming, Electro-hydraulic forming and Electro-Magnetic forming",6
3915,Identify an engineering problems in metallurgical field,2
3916,Suggest solutions for the problems in the metallurgical field,3
3917,Critically evaluate the  problems  from the literature.,4
3918,"Demonstrate independence, and develop professionalism by successfully completing the seminar",5
3919,Name the different steps in powder metallurgy,1
3920,Explain different types of powder production methods,2
3921,Differentiate between process parameters of powder metallurgy,3
3922,Examine the properties of metal and ceramic powders,4
3923,Design powder metallurgy parts,5
3924,Estimate the material utilization and energy conservation during  powder metallurgy  process,6
3925,"Analyze the behavior of carriers (electrons and holes) in semiconductors in terms of drift, diffusion and recombination/generation.",1
3926,"Understand the meaning of energy levels in semiconductors, including the position of the fermi level at equilibrium and out of equilibrium",2
3927,"Describe the operation of a PN junction and apply this understanding to more complex situations (bipolar junction transistor, junction field effect transistor, solar cell, light emitting diode, laser diode, etc.)",3
3928,"Understand the behavior of light in solids and how this can be incorporated into photonic devices, waveguides, optical fibers etc.",4
3929,"Understand basic magnetic quantities (field, induction, and moment) and phenomena (e.g. induction) and apply to simple devices (D.C. motor, disk drive, and transformer)",5
3930,"Demonstrate ability to select materials for device applications based on the desired optical, electrical or magnetic performance of the device.",6
3931,"Understand the importance of mineral liberation, and principles and processes of crushing, grinding, and size classification (screens, hydrocylcone, classifiers)",1
3932,"Understand the fundamentals of sampling, gravity, magnetic, electrostatic, and forth flotation separation",2
3933,Apply mass balance principle to determine plant stream flows,3
3934,Learn Stokesâ€™ and Newtonâ€™s law for particle movement in liquid,4
3935,"Analyze forces (centrifugal, gravitational, buoyant, viscous, magnetic, electrostatic, etc) acting upon a particle in different processes and their effects on separation performance",5
3936,Learn various methods of evaluating classification and separation processes,6
3937,"Understand the methods of crushing, grinding and concentration processes",1
3938,"Have extensive experience with gravity separation, magnetic separation as well as dewatering and filtering methods",2
3939,Separate minerals not conducive to traditional concentration methods by hydrometallurgical methods,3
3940,Apply the concepts in the design and development of machines for separating the low grade ore economically,4
3941,Knowledge on the applicability of mineral processing to environmental remediation and recycling,5
3942,Convert from bench-scale to pilot-scale test campaigns in mineral processing,6
3943,Realise the problems involved in designing and building ecommerce systems,1
3944,Design E-Commerce systems that fully meet the requirements of the intended users,2
3945,"Analyse and evaluate the Internet trading relationships including Business to Consumer, Business-to-Business, Intra-organizational.",3
3946,Work with electronic payment systems,4
3947,"Make ethical decisions related to e-commerce considering laws, privacy, and security",5
3948,"Demonstrate retailing in E-commerce by analyzing branding and pricing strategies, using and determining the effectiveness of market research",6
3949,CO2: To construct Finite Automata for a given type 3 languages,2
3950,CO3: To Interpret a given language as type3 and design regular expressions.,3
3951,CO4: Design Context free Grammars and PDAs for type 2 languages.,4
3952,CO5: Design a Turing machine that accomplishes a specific task,5
3953,CO6: Recognize problems reducible to/from well-known decidable/undecidable problems.,6
3954,To examine about cyber forensics basics.,1
3955,To illustrate different types of cyber forensics and apply it in different computing areas.,2
3956,Categorize the basic welding operations,1
3957,Formulate basic calculations for fusion welding processes,2
3958,"Practise welding operations such as SMAW, GTAW, GMAW, Oxy-acetylene gas cutting etc.",3
3959,To compare and contrast different Cyber forensic systems and its areas of applications.,3
3960,Examine and interpret about ethical hacking and its application and scope.,4
3961,To illustrate how data are identified and usage of tools in cyber forensics.,5
3962,Discuss about different types of evidence and methods of collection.,6
3963,Compare the various welding defects which can be formed during fusion welding,4
3964,"Design various joints using SMAW, GMAW, GTAW.",5
3965,Analyse the micro-structure and macro-structure of a welded joint.,6
3966,Describe and discuss  various decision making and looping statements in object oriented programming,2
3967,Apply knowledge of computing and mathematics using derived datatypes such as functions and arrays and user defined datatype such as class,3
3968,Discuss operator and function overloading and  apply the knowledge of overloading and inheritance in C++.,4
3969,"Develop skill to use pointers, memory allocation and data handling through files in C++.",5
3970,AcquireÂ expertise in usage of modern power system softwares,6
3971,Analyze scientific literature for assimilating  knowledge,2
3972,Write technical documents and give  oral presentations,3
3973,"Identify a current engineering problem of professional interest, analyze it and propose a preliminary work plan to solve it.",5
3974,Describe acquired information using a variety of modern presentation tools,4
3975,Analyze and identify unknown organic compounds,1
3976,Prepare different organic compounds,2
3977,Analyze and estimate different organic compounds volumetrically,3
3978,Identify organic compounds using colorimetric methods,4
3979,Identify organic and biomaterials using chromatographic methods.,5
3980,Select and Design special concretes depending on their specific applications,4
3981,Evaluate the effect of structure on service life based on durability and demonstrate the technique of non-destructive testing of concrete,5
3982,Student is able to study how a project work can be effectively possible in team,1
3983,Student is able to analyse what are the various requirements needed for a project and studies different models regarding this,2
3984,Student is able to explain the workflow in an organisation  by using pictorial representation,3
3985,Student is capable to design a project using various design principles,4
3986,Student can identify the bugs and errors in the project by various testing procedures and methods to fix it.,5
3987,Student analyse various case studies in a software development,6
3988,"Be able to explain the purpose of the Equipment, Application, and standard techniques required to perform major non-destructive and destructive examinations",5
3989,Ability to recognize and achieve high levels of professionalism in their work.,6
3990,"Basic data structures such as arrays, linked lists, stacks and queues",1
3991,"Formulate new solutions for programing problems or improve existing code using learned algorithms and data structures,",6
3992,"Solve problem involving graphs, trees and heaps",4
3993,"Apply Algorithm for solving problems like sorting, searching, insertion and deletion of data",5
3994,Be capable to identity the appropriate data structure for given problem,2
3995,Describe the hash function and concepts of collision and its resolution methods,3
3996,"The Students shall be able to understand the concepts of stress, strain and strain theory and analyse solid mechanics problems",1
3997,The Students shall be able to analyse two dimensional stress strain problems and understand Airy&#39;s stress function.,2
3998,The Students shall be able to interpret the use of plane stress and strains and compatibility conditions to problems.,3
3999,The Students shall be able to analyse axisymmetric problems and undertand the stress distribution.,4
4000,The Students shall be able to apply various failure criteria to problems and understand the concepts of plasticity.,5
4001,"The Students shall be able to analyse solid mechanics problems using concepts of stress, strain and strain theory.",1
4002,"(1)	Introduction to fundamentals and methodologies of failure analysis",1
4003,"(2)	Identify and explain different types of fractures of engineering materials and their  characterization features with planning of steps of analysis",2
4004,"(3)	To explain appropriate techniques for examination methods of the theoretical basis of the experimental application can be utilized for fracture and failure analysis",3
4005,"(4)	To understand the differences in the classification of fracture mechanics (LEFM/EPEM) and their suitable parameters can be utilized to determine conditions under which engineering materials will be liable to fail catastrophically in service conditions",4
4006,"(5)	To train them with knowledge on how to design against catastrophic failures and skills required in carrying out failure analysis on the basis of metallurgical and mechanical factors affecting these failures",5
4007,"(6)	To acquire appropriate theoretical and practical knowledge through case studies through logical conclusions and remedial measures",6
4008,Understand mathematical modeling of plastic deformation with respect to microscopic mechanisms,1
4009,Use creep data to predict the life of structures at elevated temperatures and the understanding of mechanisms of creep deformation and fracture,2
4010,Understand fatigue and how fatigue affects structural lifetimes of components.,3
4011,Estimate quantitatively failure criteria for both elastically and plastically deforming structures,4
4012,Design metals and materials for optimal failure and fatigue analysis,5
4013,"Design of life prediction strategies, and for fracture control plans for diverse industrie",6
4014,Know the furnaces used in the production of metals and alloys;,1
4015,Understand melting practice and chemical reactions that take place in the furnaces;,2
4016,"Describe molding, casting and solidification processes;",3
4017,Differentiate between the different casting processes and their end products;,4
4018,Develop designs for engineering components produced via against defects,5
4019,Produce sound castings without defects,6
4020,Evaluate current topics of professional interest and propose a work plan to solve them.,1
4021,"Analyze diverse disciplines to apply theories, methods and knowledge bases from multiple fields to a single question or problem.",2
4022,"Respond respectfully to opposing ideas, show depth of knowledge of complex subjects, and develop ability to synthesize, evaluate and reflect on information.",3
4023,"Identify project goals, constraints, deliverables, performance criteria, control needs, and resource requirements.",4
4024,"Develop skills to work in a team in a professional manner, respecting differences, ensuring a collaborative project environment.",5
4025,Demonstrate an understanding of discussions and present it effectively before the audience.,6
4026,"1.	To obtain knowledge of historical backgrounds, origin, location, and distribution in Indian and World scenario regarding iron ores and cokes, extraction sites, and environmental issues and norms.",1
4027,"2.	Classify different kinds of furnaces and their accessories working principles and advancement used for iron and steel making. Specially, modern trends in iron making blast furnace.",2
4028,"3.	Explain brief principles of alternative methods of iron making and their advantages and limitations in Indian and World scenario point of views.",3
4029,"4.	To get a feel for what is happening in the iron and steel industry processes, also become familiar with iron making and steel making processes and their role of thermodynamics and kinetics point of views.",4
4030,"5.	Students should understand the different types of iron making and steel making processes associated their metallurgical principles of reactions, melting and refining technologies and quality control aspects.",5
4031,"6.	Understands the merit and demerits of ingot castings and identify defects and suggest remedies.",6
4032,"6.	Understands the merit and demerits of ingot castings and identify defects and suggest remedies.",6
4033,Analyze the model by selecting and applying a suitable mathematical method,1
4034,Interpreting the mathematical results in physical or other terms to see what it practically means and implies,2
4035,Analyze and design engineering situations and solve problems using algebraic methods,3
4036,Interpret the solutions of boundary value problems in an engineering concept,4
4037,Analyze finite difference approximations to solve partial differential equations,5
4038,Recognize the importance of numerical analysis for solving a well-proposed mathematical problem,6
4039,The Students shall be able to interpret the use of plane Â stress and strains and compatibility conditions to problems.,2
4040,The Students shall be able toUndertand the concepts of Airy&#39;s stress function and biharmonic equilibrium.,3
4041,The Students shall be able to analyse axisymmetric problems and undertand the stress distribution,4
4042,The Students shall be able to Identify and apply St.Venants method and Prandtls analogy to various torsion problems,5
4043,To solve advanced solid mechanics problems using classical methods,1
4044,To understand the theory of elasticity including strain/displacement and Hookeâ€™slaw Relationship,2
4045,To solve torsion problems in bars and thin walled members,3
4046,To learn  the importanceof residual stresses,4
4047,To understand the concepts of different ineastic behaviour and models,5
4048,Select suitable materials for the non-conventional applications in industries,1
4049,choose suitable polymeric materials for advanced application,2
4050,Understand and configure composite materials for various applications,3
4051,Analyze the properties and characteristics of avanced manufacturing processes,4
4052,apply the basics of manufacturing techniques in day today aplications,5
4053,Encapsulate varios concepts in the materials and manufacturing regime,6
4054,Synthesize nanomaterials via chemical methods,1
4055,Synthesize nanomaterials via physical methods,2
4056,Operate characterization equipments like UV-Vis Spectroscopy,3
4057,Synthesize of nanomaterial via sono-chemical method,4
4058,Analyze the applications of nanomaterials,5
4059,"1.	To design Reinforced cement concrete structural elements.",1
4060,"2.	To analyse the possible deflection and crack formation that can occur in various structures.",2
4061,"3.	To carry out new methodologies in slab design in plastic stage.",3
4062,"4.	To analyse the building for horizontal loads manually.",4
4063,"5.	To study the fire resistance, ductility property of structural members along with quality control of concrete.",5
4064,"1.	To design Reinforced cement concrete structural elements.",1
4065,"2.	To analyse the possible deflection and crack formation that can occur in various structures.",2
4066,"3.	To carry out new methodologies in slab design in plastic stage.",3
4067,"4.	4.	To analyse the building for horizontal loads manually along with inelastic behavior of concrete members",4
4068,"5.	To study the fire resistance, ductility property of structural members along with quality control of concrete.",5
4069,Experiment assembly level language programming in 8051,1
4070,Design interfacing of various perepherals using 8051,2
4071,To design and develop applications using 8051,3
4072,"1.	To  understand various design philosophies and other considerations to be adopted in design of tall buildings",1
4073,"2.	To analyse the vertical and horizontal load calculations in tall buildings and different systems of load distribution.",2
4074,"3.	To propose various structural forms those are suitable for design of a structure.",3
4075,"4.	To understand the significance of structural modeling and design for primary and secondary analysis.",4
4076,"5.	To evaluate how tall buildings deform under various loading conditions.",5
4077,"1.	To  understand various design philosophies and other considerations to be adopted in design of tall buildings",1
4078,"2.	To analyse the vertical and horizontal load calculations in tall buildings and different systems of load distribution.",2
4079,"3.	To propose various structural forms those are suitable for design of a structure.",3
4080,"4.	To understand the significance of structural modeling and design for primary and secondary analysis.",4
4081,"5.	To evaluate how tall buildings deform under various loading conditions.",5
4082,Familiarization with Primavera P6 software,1
4083,Familiarisation with STAAD software,2
4084,Familiarisation with ETABS software,3
4085,Familiarisation with ANSYS workbench,4
4086,Ability to select a suitable tool for a problem,5
4087,Experiment DataBase Connectivity Using JDBC API,1
4088,Implement Servlet technology in Web Application Development,2
4089,Implement JSP technology in Web Application Development,3
4090,Experiment MVC Design WebApps,4
4091,Experiment Session and Cookies in J2EE Environment,5
4092,Ability to effectively gather and interpret information from literature survey,1
4093,"Ability to use knowledge gathered through literature survey to identify, formulate, analyze and solve complex problems and to evaluate and interpret various solutions",2
4094,"Gain the ability to communicate effectively with written, oral, and visual means in a technical setting.",3
4095,Ability to cultivate the critically analyzing the recent technological advancement in the seminar report,4
4096,Students will be able to present a technical topic systematically,5
4097,"Complete an independent seminar report, resulting in at least a publication as a review in UGC approved journals and conference proceedings.",6
4098,test Co - Non Dept,1
4099,Demonstrate various tools and techniques used in Industrial Engineering.,1
4100,Identify the significance of implementing virtualization techniques,1
4101,Describe the need of security mechanisms in cloud,5
4102,Understand the basic principles in fluid dynamics and  apply the momentum and energy equations to fluid flow problems,6
4103,Apply appropriate cloud programming methods to solve big data problms,4
4104,Identify and categorize different sources of solid wastes.,1
4105,Compare the various public cloud platforms and software enviornments,3
4106,Interpret the various cloud computing models and services,2
4107,Analyze various types of security attacks on a system.,1
4108,Examine the nature and effect  of natural disasters and anthropogenic disasters  on environment.,2
4109,Understand the concepts of object-oriented programming paradigms and develop skills in these paradigms using Java,1
4110,Apply the concepts of inheritance and polymorphism,2
4111,"Analyse and evaluate the use of  interfaces, strings and arrays",3
4112,"Create Java application programs using sound OOP practices and proper program structuring (e.g., by using Exception Handling, Multithreaded Programming",4
4113,Apply and understand JAVA I/O operations,5
4114,"Be exposed to advanced applications such as TCP and UDP network programming,  Web applications using Applets etc.",6
4115,Have a good understanding of how to develop software in a team with other developers,1
4116,"Able to develop web-enabled software using open source tools (such as HTML5, JavaScript and modern web frameworks) and methodologies",2
